case_id,case_type,original_index,nta2020,ntaname,boroname,week_start,year,complaint_category,complaint_category_label,complaint_count,y_true,prediction,lgbm_score,expected_value_log_odds,sum_shap_log_odds,top_positive_features,top_negative_features
case_001,true_positive_high_score,266454,MN1203,Inwood,Manhattan,2025-10-06,2025,housing,Housing & Building Conditions,483,1,1,0.9540590084734143,-1.444092527410527,0.010945032764769158,rolling_8w_std; week_of_year; pluto_total_residential_area; pluto_total_units; month,complaint_category=other; ratio_to_8w_mean; rolling_4w_mean; history_weeks_available; lag_1w_count
case_002,true_positive_high_score,212364,BX0803,Riverdale-Spuyten Duyvil,Bronx,2025-06-23,2025,water_sewer,Water & Sewer,554,1,1,0.9423762710437035,-1.444092527410527,-0.36485994856092785,rolling_8w_std; complaint_category=other; lag_12w_count; poi_semantic_entropy; rolling_4w_std,ratio_to_8w_mean; complaint_category=environment; month; lag_52w_count; complaint_category=housing
case_003,true_positive_high_score,199134,BX0403,Mount Eden-Claremont (West),Bronx,2025-06-23,2025,water_sewer,Water & Sewer,626,1,1,0.9392760186902217,-1.444092527410527,-0.32388855244553966,rolling_8w_std; week_of_year; poi_semantic_entropy; poi_named_count; pluto_parcel_density_per_km2,complaint_category=other; ratio_to_8w_mean; rolling_4w_mean; lag_1w_count; lag_12w_count
case_004,true_positive_high_score,208584,BX0702,Bedford Park,Bronx,2025-06-23,2025,water_sewer,Water & Sewer,361,1,1,0.934941326267723,-1.444092527410527,0.1535898153798213,ratio_to_8w_mean; week_of_year; complaint_category=infrastructure; diff_4w_count; complaint_category=environment,rolling_8w_std; lag_2w_count; lag_1w_count; complaint_category=noise; rolling_4w_mean
case_005,true_positive_high_score,213309,BX0901,Soundview-Bruckner-Bronx River,Bronx,2025-06-23,2025,water_sewer,Water & Sewer,250,1,1,0.931607549439984,-1.444092527410527,-0.38332248794537416,complaint_category=housing; lag_1w_count; lag_52w_count; rolling_4w_mean; complaint_count,rolling_8w_std; ratio_to_8w_mean; lag_8w_count; weather_prcp_max; history_weeks_available
case_006,false_positive_high_score,241450,MN0302,Lower East Side,Manhattan,2025-06-30,2025,public_safety,Public Safety & Regulatory Enforcement,249,0,1,0.9404422914500777,-1.444092527410527,-1.0452034150076357,lag_52w_count; lag_1w_count; complaint_count; lag_12w_count; rolling_4w_mean,rolling_8w_std; ratio_to_8w_mean; weather_prcp_max; history_weeks_available; complaint_category=housing
case_007,false_positive_high_score,266020,MN1202,Washington Heights (North),Manhattan,2025-06-30,2025,public_safety,Public Safety & Regulatory Enforcement,156,0,1,0.9307965643803064,-1.444092527410527,1.0017845983334595,ratio_to_8w_mean; complaint_count; lag_1w_count; lag_12w_count; ratio_to_12w_mean,rolling_8w_std; month; week_of_year; weather_tmin_mean; weather_tmax_max
case_008,false_positive_high_score,362410,SI0302,Great Kills-Eltingville,Staten Island,2025-06-30,2025,public_safety,Public Safety & Regulatory Enforcement,107,0,1,0.9154055033577186,-1.444092527410527,0.46897676253977694,ratio_to_8w_mean; week_of_year; lag_12w_count; rolling_8w_std; complaint_category=other,complaint_category=environment; lag_52w_count; lag_1w_count; rolling_4w_mean; weather_tmax_max
case_009,false_positive_high_score,265075,MN1201,Washington Heights (South),Manhattan,2025-06-30,2025,public_safety,Public Safety & Regulatory Enforcement,253,0,1,0.9108073637633255,-1.444092527410527,0.937085005362544,complaint_category=infrastructure; rolling_8w_std; week_of_year; complaint_count; complaint_category=other,ratio_to_8w_mean; history_weeks_available; lag_1w_count; rolling_4w_mean; lag_2w_count
case_010,false_positive_high_score,132775,BK0302,Bedford-Stuyvesant (East),Brooklyn,2025-06-30,2025,public_safety,Public Safety & Regulatory Enforcement,101,0,1,0.9051091193957009,-1.444092527410527,-0.19488840204719166,rolling_8w_std; complaint_category=parking_traffic; complaint_category=other; rolling_12w_std; complaint_category=environment,ratio_to_8w_mean; lag_52w_count; rolling_4w_mean; poi_semantic_entropy; pluto_total_units
