experiment_id,feature_set,model_name,feature,importance,importance_type,rank
E1_main_2015_2025,historical_only,lightgbm,history_weeks_available,4020.0,feature_importances_,1
E1_main_2015_2025,historical_only,lightgbm,rolling_8w_std,2591.0,feature_importances_,2
E1_main_2015_2025,historical_only,lightgbm,ratio_to_8w_mean,1834.0,feature_importances_,3
E1_main_2015_2025,historical_only,lightgbm,complaint_category,1734.0,feature_importances_,4
E1_main_2015_2025,historical_only,lightgbm,rolling_4w_std,1708.0,feature_importances_,5
E1_main_2015_2025,historical_only,lightgbm,rolling_12w_std,1597.0,feature_importances_,6
E1_main_2015_2025,historical_only,lightgbm,lag_52w_count,1586.0,feature_importances_,7
E1_main_2015_2025,historical_only,lightgbm,ratio_to_12w_mean,1555.0,feature_importances_,8
E1_main_2015_2025,historical_only,lightgbm,diff_4w_count,1387.0,feature_importances_,9
E1_main_2015_2025,historical_only,lightgbm,pct_change_1w,1316.0,feature_importances_,10
E1_main_2015_2025,historical_only,lightgbm,lag_12w_count,1260.0,feature_importances_,11
E1_main_2015_2025,historical_only,lightgbm,lag_8w_count,1250.0,feature_importances_,12
E1_main_2015_2025,historical_only,lightgbm,rolling_12w_mean,1197.0,feature_importances_,13
E1_main_2015_2025,historical_only,lightgbm,lag_2w_count,1101.0,feature_importances_,14
E1_main_2015_2025,historical_only,lightgbm,rolling_4w_mean,982.0,feature_importances_,15
E1_main_2015_2025,historical_only,lightgbm,lag_1w_count,977.0,feature_importances_,16
E1_main_2015_2025,historical_only,lightgbm,diff_1w_count,963.0,feature_importances_,17
E1_main_2015_2025,historical_only,lightgbm,rolling_8w_mean,932.0,feature_importances_,18
E1_main_2015_2025,historical_only,lightgbm,lag_4w_count,883.0,feature_importances_,19
E1_main_2015_2025,historical_only,lightgbm,complaint_count,867.0,feature_importances_,20
E1_main_2015_2025,historical_only,lightgbm,boroname,672.0,feature_importances_,21
E1_main_2015_2025,historical_only,lightgbm,rolling_4w_sum,218.0,feature_importances_,22
E1_main_2015_2025,historical_only,lightgbm,rolling_12w_sum,192.0,feature_importances_,23
E1_main_2015_2025,historical_only,lightgbm,rolling_8w_sum,178.0,feature_importances_,24
E1_main_2015_2025,historical_calendar_weather,lightgbm,rolling_8w_std,2229.0,feature_importances_,1
E1_main_2015_2025,historical_calendar_weather,lightgbm,ratio_to_8w_mean,1369.0,feature_importances_,2
E1_main_2015_2025,historical_calendar_weather,lightgbm,history_weeks_available,1345.0,feature_importances_,3
E1_main_2015_2025,historical_calendar_weather,lightgbm,complaint_category,1324.0,feature_importances_,4
E1_main_2015_2025,historical_calendar_weather,lightgbm,lag_52w_count,1238.0,feature_importances_,5
E1_main_2015_2025,historical_calendar_weather,lightgbm,ratio_to_12w_mean,1233.0,feature_importances_,6
E1_main_2015_2025,historical_calendar_weather,lightgbm,rolling_4w_std,1146.0,feature_importances_,7
E1_main_2015_2025,historical_calendar_weather,lightgbm,diff_4w_count,1063.0,feature_importances_,8
E1_main_2015_2025,historical_calendar_weather,lightgbm,week_of_year,1038.0,feature_importances_,9
E1_main_2015_2025,historical_calendar_weather,lightgbm,rolling_12w_std,984.0,feature_importances_,10
E1_main_2015_2025,historical_calendar_weather,lightgbm,pct_change_1w,941.0,feature_importances_,11
E1_main_2015_2025,historical_calendar_weather,lightgbm,weather_awnd_mean,904.0,feature_importances_,12
E1_main_2015_2025,historical_calendar_weather,lightgbm,weather_prcp_max,882.0,feature_importances_,13
E1_main_2015_2025,historical_calendar_weather,lightgbm,lag_12w_count,861.0,feature_importances_,14
E1_main_2015_2025,historical_calendar_weather,lightgbm,rolling_12w_mean,856.0,feature_importances_,15
E1_main_2015_2025,historical_calendar_weather,lightgbm,lag_8w_count,774.0,feature_importances_,16
E1_main_2015_2025,historical_calendar_weather,lightgbm,rolling_4w_mean,743.0,feature_importances_,17
E1_main_2015_2025,historical_calendar_weather,lightgbm,complaint_count,706.0,feature_importances_,18
E1_main_2015_2025,historical_calendar_weather,lightgbm,lag_2w_count,695.0,feature_importances_,19
E1_main_2015_2025,historical_calendar_weather,lightgbm,diff_1w_count,690.0,feature_importances_,20
E1_main_2015_2025,historical_calendar_weather,lightgbm,weather_prcp_mean,688.0,feature_importances_,21
E1_main_2015_2025,historical_calendar_weather,lightgbm,weather_awnd_max,675.0,feature_importances_,22
E1_main_2015_2025,historical_calendar_weather,lightgbm,lag_1w_count,659.0,feature_importances_,23
E1_main_2015_2025,historical_calendar_weather,lightgbm,weather_tmax_max,629.0,feature_importances_,24
E1_main_2015_2025,historical_calendar_weather,lightgbm,weather_tavg_mean,612.0,feature_importances_,25
E1_main_2015_2025,historical_calendar_weather,lightgbm,rolling_8w_mean,610.0,feature_importances_,26
E1_main_2015_2025,historical_calendar_weather,lightgbm,lag_4w_count,610.0,feature_importances_,27
