complaint_type,complaint_category,complaint_count,share_of_all_requests,rank_within_category
Rodent,environment,377529,0.012201920683653259,1
Air Quality,environment,97881,0.0031635614706066674,2
Illegal Tree Damage,environment,41042,0.0013264973782106727,3
Hazardous Materials,environment,26571,0.0008587876281963789,4
Unsanitary Animal Pvt Property,environment,23584,0.0007622463371112641,5
Standing Water,environment,22047,0.0007125697504363992,6
Vacant Lot,environment,13664,0.0004416271179735547,7
Industrial Waste,environment,11075,0.0003579493802369085,8
Mosquitoes,environment,5005,0.0001617640314298625,9
Harboring Bees/Wasps,environment,3565,0.00011522253187761434,10
Poison Ivy,environment,1642,5.3070237683882957e-05,11
Plant,environment,1475,4.767271655525418e-05,12
Unsanitary Animal Facility,environment,893,2.8862193819553888e-05,13
Animal Facility - No Permit,environment,847,2.737545147274596e-05,14
Calorie Labeling,environment,107,3.4582919806184388e-06,15
Hazmat Storage/Use,environment,2,6.464097160034465e-08,16
Open Flame Permit,environment,1,3.2320485800172325e-08,17
HEAT/HOT WATER,housing,2535546,0.08195007848868374,1
UNSANITARY CONDITION,housing,992289,0.0320712625341672,2
PAINT/PLASTER,housing,600750,0.019416531844453525,3
PLUMBING,housing,590414,0.019082467303222946,4
DOOR/WINDOW,housing,413797,0.013374120062653908,5
General Construction/Plumbing,housing,391382,0.012649656373443046,6
WATER LEAK,housing,384237,0.012418726502400813,7
GENERAL,housing,289720,0.009363891146025927,8
ELECTRIC,housing,283515,0.009163342531635857,9
FLOORING/STAIRS,housing,256122,0.008277987464111737,10
Building/Use,housing,244041,0.007887523675159856,11
APPLIANCE,housing,179779,0.005810544616669181,12
Elevator,housing,170152,0.005499395299870921,13
Maintenance or Facility,housing,143553,0.004639702698072138,14
Lead,housing,116479,0.0037646578655182723,15
SAFETY,housing,108585,0.003509519950611712,16
Indoor Air Quality,housing,61734,0.0019952728703878384,17
Plumbing,housing,50073,0.001618383685472029,18
Special Projects Inspection Team (SPIT),housing,44609,0.0014417845510598874,19
Electrical,housing,27921,0.0009024202840266115,20
Boilers,housing,27870,0.0009007719392508028,21
Construction Safety Enforcement,housing,22370,0.000723009267349855,22
Asbestos,housing,18458,0.0005965715268995808,23
ELEVATOR,housing,15840,0.0005119564950747296,24
BEST/Site Safety,housing,12127,0.0003919505312986898,25
Non-Residential Heat,housing,11324,0.0003659971812011514,26
OUTSIDE BUILDING,housing,11174,0.0003611491083311256,27
COVID-19 Non-essential Construction,housing,7313,0.00023635971265666022,28
Construction,housing,7009,0.00022653428497340782,29
Building Marshals office,housing,6834,0.0002208781999583777,30
Unsanitary Condition,housing,6750,0.0002181632791511632,31
Construction Lead Dust,housing,5898,0.00019062622524941637,32
Mold,housing,3731,0.00012058773252044295,33
Water Leak,housing,3072,9.928853237812939e-05,34
Sewer Maintenance,housing,2777,8.975398906707856e-05,35
