complaint_type,complaint_category,complaint_count,share_of_all_requests,rank_within_category,share_of_other_requests
Encampment,other,191408,0.006186399546039384,1,0.4333949208419375
Drug Activity,other,93873,0.0030340209635195767,2,0.21255162482338877
Animal in a Park,other,29914,0.000966835012226355,3,0.0677326739847118
Vending,other,27575,0.0008912373959397519,4,0.06243660109408398
Electronics Waste,other,26487,0.0008560727073891644,5,0.05997310074991849
Miscellaneous Categories,other,13752,0.00044447132072396984,6,0.031137919791327028
Unleashed Dog,other,11718,0.00037873145260641935,7,0.026532442125855885
DOF Property - Payment Issue,other,11414,0.00036890602492316695,8,0.025844111147339057
DRIE,other,4023,0.00013002531437409328,9,0.009109064232148679
Storm,other,3003,9.70584188579175e-05,10,0.006799532659493533
Posting Advertisement,other,2745,8.871973352147303e-05,11,0.006215357026410173
DPR Internal,other,2520,8.144762421643426e-05,12,0.005705901532442126
Uprooted Stump,other,2343,7.572689822980375e-05,13,0.0053051298771872625
Adopt-A-Basket,other,2313,7.475728365579859e-05,14,0.005237202477991523
Private or Charter School Reopening,other,2099,6.784069969456172e-05,15,0.004752653697061913
Face Covering Violation,other,1798,5.811223346870984e-05,16,0.00407111545846466
Facades,other,1769,5.7174939380504846e-05,17,0.004005452305908778
LinkNYC,other,1406,4.5442603035042294e-05,18,0.003183530775640329
Quality of Life,other,1324,4.279232319942816e-05,19,0.002997862551171974
Executive Inspections,other,1289,4.1661106196422126e-05,20,0.0029186139187769447
Pet Shop,other,1281,4.140254231002075e-05,21,0.0029004999456580804
Cannabis Retailer,other,1111,3.5908059723991454e-05,22,0.002515578016882223
Illegal Animal Sold,other,817,2.640583689874079e-05,23,0.001849889504763975
AHV Inspection Unit,other,749,2.4208043864329072e-05,24,0.001695920733253632
Special Natural Area District (SNAD),other,743,2.401412094952804e-05,25,0.001682335253414484
Special Operations,other,440,1.4221013752075823e-05,26,0.000996268521537514
FATF,other,435,1.4059411323074963e-05,27,0.000984947288338224
Incorrect Data,other,356,1.1506092944861347e-05,28,0.0008060718037894432
Lifeguard,other,259,8.371005822244632e-06,29,0.0005864398797232184
Squeegee,other,244,7.886198535242048e-06,30,0.0005524761801253487
Cooling Tower,other,231,7.466032219839807e-06,31,0.0005230409738071948
X-Ray Machine/Equipment,other,204,6.5933791032351545e-06,32,0.00046190631453102925
Pet Sale,other,189,6.1085718162325695e-06,33,0.00042794261493315946
Dept of Investigations,other,186,6.011610358832053e-06,34,0.00042114987501358546
FCST,other,180,5.817687444031018e-06,35,0.00040756439517443757
Literature Request,other,161,5.203598213827745e-06,36,0.0003645437090171358
Bench,other,156,5.041995784826883e-06,37,0.0003532224758178459
Radioactive Material,other,134,4.3309450972230914e-06,38,0.00030340904974097017
Tobacco or Non-Tobacco Sale,other,123,3.9754197534211965e-06,39,0.0002785023367025323
Forensic Engineering,other,78,2.5209978924134415e-06,40,0.00017661123790892294
ATF,other,73,2.35939546341258e-06,41,0.000165290004709633
Transportation Provider Complaint,other,58,1.874588176409995e-06,42,0.00013132630511176322
Tanning,other,55,1.7776267190094778e-06,43,0.00012453356519218924
Retailer Complaint,other,53,1.7129857474091332e-06,44,0.00012000507191247328
Stalled Sites,other,51,1.6483447758087886e-06,45,0.00011547657863275731
